OE-417 Electric Emergency and Disturbance Report - Calendar Year 2019,,,,,,,,,,
Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
January ,01/05/2019,1:19 PM,01/05/2019,3:07 PM,Washington:,WECC,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,Unknown
January,01/06/2019,3:00 AM,01/09/2019,7:00 AM,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,230,230000
January,01/06/2019,5:56 PM,01/06/2019,9:52 PM,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,300,90382
January,01/06/2019,1:00 AM,01/06/2019,12:00 PM,"Washington: King County, Thurston County, Pierce County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,230000
January,01/07/2019,8:57 PM,01/07/2019,9:32 PM,Michigan:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/09/2019,11:55 AM,01/09/2019,11:56 AM,New Mexico: San Juan County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
January,01/10/2019,12:19 PM,01/10/2019,12:48 PM,Montana: Valley County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,11,2
January,01/11/2019,11:36 AM,01/11/2019,12:43 PM,Maine:,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/12/2019,11:30 AM,01/13/2019,10:00 PM,Missouri: Jackson County; Kansas: Johnson County;,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,112530
January,01/12/2019,11:30 AM,Unknown,Unknown,Missouri: Nebraska:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,116600
January,01/12/2019,7:20 PM,01/12/2019,9:38 PM,New Hampshire:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
January,01/13/2019,5:30 AM,01/15/2019,5:00 PM,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,133200,Unknown
January,01/14/2019,11:10 AM,Unknown,Unknown,Michigan:,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Actual Physical Attack,Unknown,Unknown
